P,chunk_sizes,time
10.0,1472.0,4.518439054489136
11.0,1472.0,4.649439096450806
12.0,1472.0,5.161651849746704
1.0,1604.0,6.662292003631592
2.0,1604.0,4.020530939102173
3.0,1604.0,4.745455980300903
4.0,1604.0,4.65062403678894
5.0,1604.0,5.9266180992126465
6.0,1604.0,5.399066925048828
7.0,1604.0,4.410546064376831
8.0,1604.0,4.659226179122925
9.0,1604.0,5.365417003631592
10.0,1604.0,4.700809001922607
11.0,1604.0,5.663655042648315
12.0,1604.0,5.300964117050171
1.0,1748.0,5.178164958953857
2.0,1748.0,3.8762199878692627
3.0,1748.0,4.36240291595459
4.0,1748.0,4.220400810241699
5.0,1748.0,4.268532991409302
6.0,1748.0,4.469835042953491
7.0,1748.0,4.45707106590271
8.0,1748.0,4.2960288524627686
9.0,1748.0,4.096764087677002
10.0,1748.0,4.721069097518921
11.0,1748.0,4.4599878787994385
12.0,1748.0,4.403341770172119
1.0,1905.0,5.298174142837524
2.0,1905.0,3.8902387619018555
3.0,1905.0,4.233325004577637
4.0,1905.0,4.681863069534302
