group_size,time_delta
1,2.3514270782470703
2,1.4891149997711182
4,1.1481001377105713
8,1.062230110168457
16,1.086454153060913
32,1.0125761032104492
64,1.0011508464813232
128,0.9970979690551758
256,1.017503023147583
512,1.0627710819244385
1024,0.9797759056091309
2048,0.9976761341094971
4096,0.9930610656738281
8192,1.0023651123046875
